Band,Frequency_GHz,Diameter_m,Efficiency,Gain_dBi,HPBW_deg
X-band,8.2,0.6,0.55,31.6495123456138,4.2653398495935
X-band,8.2,0.9,0.55,35.1713375267274,2.843559899729
X-band,8.2,1.2,0.55,37.6701122588934,2.13266992479675
X-band,8.2,1.5,0.55,39.6083125190545,1.7061359398374
