Band,Selected_Diameter_m,HPBW_deg,Pointing_Error_deg,Pointing_Loss_dB
X-band,1.2,2.13266992479675,0,0
X-band,1.2,2.13266992479675,0.2,0.105534376425233
X-band,1.2,2.13266992479675,0.5,0.659589852657706
X-band,1.2,2.13266992479675,1,2.63835941063082
X-band,1.2,2.13266992479675,2,10.5534376425233
X-band,1.2,2.13266992479675,3,23.7452346956774
X-band,1.2,2.13266992479675,5,65.9589852657706
