Time_UTC,Time_From_Pass_Start_s,Range_km,FSPL_dB,Receive_Antenna_Gain_dBi,EIRP_dBm,Received_Carrier_dBm,System_Temperature_K,Noise_Power_dBm,SNR_dB,EbNo_dB,Raw_Margin_dB,Design_Margin_dB,Usable_Link,Cumulative_Data_MB
13-Jul-2026 13:08:35,0,1415.78152703792,162.511358412171,25.5659838162573,44.5,-96.445374595914,251.389551628743,-113.803882479014,17.3585078831004,18.1503203435767,16.1503203435767,13.1503203435767,1,0
13-Jul-2026 13:08:40,5,1385.67475143201,162.324659658101,25.5659838162573,44.5,-96.2586758418437,251.389551628743,-113.803882479014,17.5452066371708,18.337019097647,16.337019097647,13.337019097647,1,0.625
13-Jul-2026 13:08:45,10,1355.78673795881,162.135261212318,25.5659838162573,44.5,-96.0692773960605,251.389551628743,-113.803882479014,17.7346050829539,18.5264175434302,16.5264175434302,13.5264175434302,1,1.25
13-Jul-2026 13:08:50,15,1326.13318888381,161.943176468087,25.5659838162573,44.5,-95.8771926518299,251.389551628743,-113.803882479014,17.9266898271846,18.7185022876608,16.7185022876608,13.7185022876608,1,1.875
13-Jul-2026 13:08:55,20,1296.73109638813,161.748432096345,25.5659838162573,44.5,-95.6824482800875,251.389551628743,-113.803882479014,18.121434198927,18.9132466594032,16.9132466594032,13.9132466594032,1,2.5
13-Jul-2026 13:09:00,25,1267.5988800742,161.551070520481,25.5659838162573,44.5,-95.4850867042234,251.389551628743,-113.803882479014,18.318795774791,19.1106082352673,17.1106082352673,14.1106082352673,1,3.125
13-Jul-2026 13:09:05,30,1238.75647472965,161.351152333485,25.5659838162573,44.5,-95.2851685172277,251.389551628743,-113.803882479014,18.5187139617868,19.310526422263,17.310526422263,14.310526422263,1,3.75
13-Jul-2026 13:09:10,35,1210.22548996665,161.14875950159,25.5659838162573,44.5,-95.0827756853323,251.389551628743,-113.803882479014,18.7211067936822,19.5129192541584,17.5129192541584,14.5129192541584,1,4.375
13-Jul-2026 13:09:15,40,1182.02937675061,160.943998986456,25.5659838162573,44.5,-94.8780151701987,251.389551628743,-113.803882479014,18.9258673088157,19.717679769292,17.717679769292,14.717679769292,1,5
13-Jul-2026 13:09:20,45,1154.19355015349,160.737006445345,25.5659838162573,44.5,-94.671022629088,251.389551628743,-113.803882479014,19.1328598499265,19.9246723104027,17.9246723104027,14.9246723104027,1,5.625
13-Jul-2026 13:09:25,50,1126.74558345563,160.52795087265,25.5659838162573,44.5,-94.4619670563927,251.389551628743,-113.803882479014,19.3419154226218,20.133727883098,18.133727883098,15.133727883098,1,6.25
13-Jul-2026 13:09:30,55,1099.71537517937,160.317039523931,25.5659838162573,44.5,-94.2510557076736,251.389551628743,-113.803882479014,19.5528267713409,20.3446392318171,18.3446392318171,15.3446392318171,1,6.875
13-Jul-2026 13:09:35,60,1073.13535478931,160.104523645624,25.5659838162573,44.5,-94.0385398293668,251.389551628743,-113.803882479014,19.7653426496476,20.5571551101239,18.5571551101239,15.5571551101239,1,7.5
13-Jul-2026 13:09:40,65,1047.04064176862,159.890704374388,25.5659838162573,44.5,-93.8247205581309,251.389551628743,-113.803882479014,19.9791619208836,20.7709743813598,18.7709743813598,15.7709743813598,1,8.125
13-Jul-2026 13:09:45,70,1021.46925305638,159.675939556022,25.5659838162573,44.5,-93.6099557397646,251.389551628743,-113.803882479014,20.1939267392498,20.9857391997261,18.9857391997261,15.9857391997261,1,8.75
13-Jul-2026 13:09:50,75,996.462300661602,159.460651036224,25.5659838162573,44.5,-93.3946672199663,251.389551628743,-113.803882479014,20.4092152590481,21.2010277195244,19.2010277195244,16.2010277195244,1,9.375
13-Jul-2026 13:09:55,80,972.06414095285,159.245332033723,25.5659838162573,44.5,-93.1793482174659,251.389551628743,-113.803882479014,20.6245342615485,21.4163467220248,19.4163467220248,16.4163467220248,1,10
13-Jul-2026 13:10:00,85,948.32254324962,159.03055507621,25.5659838162573,44.5,-92.9645712599523,251.389551628743,-113.803882479014,20.8393112190621,21.6311236795384,19.6311236795384,16.6311236795384,1,10.625
13-Jul-2026 13:10:05,90,925.288820021949,158.816979879181,25.5659838162573,44.5,-92.750996062924,251.389551628743,-113.803882479014,21.0528864160905,21.8446988765667,19.8446988765667,16.8446988765667,1,11.25
13-Jul-2026 13:10:10,95,903.017883631527,158.605360609995,25.5659838162573,44.5,-92.5393767937376,251.389551628743,-113.803882479014,21.2645056852768,22.0563181457531,20.0563181457531,17.0563181457531,1,11.875
13-Jul-2026 13:10:15,100,881.568270122462,158.396552592697,25.5659838162573,44.5,-92.3305687764396,251.389551628743,-113.803882479014,21.4733137025749,22.2651261630511,20.2651261630511,17.2651261630511,1,12.5
13-Jul-2026 13:10:20,105,861.002071855229,158.191517514327,25.5659838162573,44.5,-92.1255336980695,251.389551628743,-113.803882479014,21.6783487809449,22.4701612414212,20.4701612414212,17.4701612414212,1,13.125
13-Jul-2026 13:10:25,110,841.384748097906,157.991326288789,25.5659838162573,44.5,-91.9253424725317,251.389551628743,-113.803882479014,21.8785400064827,22.670352466959,20.670352466959,17.670352466959,1,13.75
13-Jul-2026 13:10:30,115,822.784824325196,157.797159041049,25.5659838162573,44.5,-91.731175224792,251.389551628743,-113.803882479014,22.0727072542224,22.8645197146987,20.8645197146987,17.8645197146987,1,14.375
13-Jul-2026 13:10:35,120,805.273426794737,157.610300945151,25.5659838162573,44.5,-91.5443171288941,251.389551628743,-113.803882479014,22.2595653501203,23.0513778105966,21.0513778105966,18.0513778105966,1,15
13-Jul-2026 13:10:40,125,788.923635552233,157.432132931865,25.5659838162573,44.5,-91.3661491156076,251.389551628743,-113.803882479014,22.4377333634068,23.2295458238831,21.2295458238831,18.2295458238831,1,15.625
13-Jul-2026 13:10:45,130,773.809646165237,157.264116369154,25.5659838162573,44.5,-91.1981325528962,251.389551628743,-113.803882479014,22.6057499261182,23.3975623865945,21.3975623865945,18.3975623865945,1,16.25
13-Jul-2026 13:10:50,135,760.005712655588,157.107770718292,25.5659838162573,44.5,-91.0417869020343,251.389551628743,-113.803882479014,22.7620955769802,23.5539080374564,21.5539080374564,18.5539080374564,1,16.875
13-Jul-2026 13:10:55,140,747.584896422571,156.964643957599,25.5659838162573,44.5,-90.8986601413419,251.389551628743,-113.803882479014,22.9052223376725,23.6970347981487,21.6970347981487,18.6970347981487,1,17.5
13-Jul-2026 13:11:00,145,736.617618401565,156.836275625862,25.5659838162573,44.5,-90.7702918096044,251.389551628743,-113.803882479014,23.0335906694101,23.8254031298863,21.8254031298863,18.8254031298863,1,18.125
13-Jul-2026 13:11:05,150,727.170049272087,156.724153240761,25.5659838162573,44.5,-90.6581694245041,251.389551628743,-113.803882479014,23.1457130545104,23.9375255149866,21.9375255149866,18.9375255149866,1,18.75
13-Jul-2026 13:11:10,155,719.302438532779,156.62966423652,25.5659838162573,44.5,-90.5636804202623,251.389551628743,-113.803882479014,23.2402020587521,24.0320145192284,22.0320145192284,19.0320145192284,1,19.375
13-Jul-2026 13:11:15,160,713.067408558106,156.554045325076,25.5659838162573,44.5,-90.4880615088187,251.389551628743,-113.803882479014,23.3158209701957,24.107633430672,22.107633430672,19.107633430672,1,20
13-Jul-2026 13:11:20,165,708.508323018498,156.498332711624,25.5659838162573,44.5,-90.4323488953669,251.389551628743,-113.803882479014,23.3715335836475,24.1633460441238,22.1633460441238,19.1633460441238,1,20.625
13-Jul-2026 13:11:25,170,705.657894459048,156.463317674337,25.5659838162573,44.5,-90.3973338580795,251.389551628743,-113.803882479014,23.4065486209349,24.1983610814112,22.1983610814112,19.1983610814112,1,21.25
13-Jul-2026 13:11:30,175,704.537043998109,156.449510242202,25.5659838162573,44.5,-90.383526425945,251.389551628743,-113.803882479014,23.4203560530695,24.2121685135457,22.2121685135457,19.2121685135457,1,21.875
13-Jul-2026 13:11:35,180,705.15413109135,156.457114674756,25.5659838162573,44.5,-90.3911308584988,251.389551628743,-113.803882479014,23.4127516205157,24.2045640809919,22.2045640809919,19.2045640809919,1,22.5
13-Jul-2026 13:11:40,185,707.504691381493,156.486020063354,25.5659838162573,44.5,-90.4200362470969,251.389551628743,-113.803882479014,23.3838462319176,24.1756586923938,22.1756586923938,19.1756586923938,1,23.125
13-Jul-2026 13:11:45,190,711.571582953863,156.535805502962,25.5659838162573,44.5,-90.469821686705,251.389551628743,-113.803882479014,23.3340607923094,24.1258732527857,22.1258732527857,19.1258732527857,1,23.75
13-Jul-2026 13:11:50,195,717.325576010059,156.60575989891,25.5659838162573,44.5,-90.5397760826526,251.389551628743,-113.803882479014,23.2641063963618,24.0559188568381,22.0559188568381,19.0559188568381,1,24.375
13-Jul-2026 13:11:55,200,724.726427323554,156.694915549307,25.5659838162573,44.5,-90.6289317330495,251.389551628743,-113.803882479014,23.1749507459649,23.9667632064412,21.9667632064412,18.9667632064412,1,25
13-Jul-2026 13:12:00,205,733.724200673773,156.80209045997,25.5659838162573,44.5,-90.7361066437128,251.389551628743,-113.803882479014,23.0677758353016,23.8595882957779,21.8595882957779,18.8595882957779,1,25.625
13-Jul-2026 13:12:05,210,744.26080076215,156.925936501608,25.5659838162573,44.5,-90.8599526853503,251.389551628743,-113.803882479014,22.9439297936642,23.7357422541404,21.7357422541404,18.7357422541404,1,26.25
13-Jul-2026 13:12:10,215,756.27171953562,157.064990792898,25.5659838162573,44.5,-90.9990069766412,251.389551628743,-113.803882479014,22.8048755023733,23.5966879628495,21.5966879628495,18.5966879628495,1,26.875
13-Jul-2026 13:12:15,220,769.6877083431,157.217724605637,25.5659838162573,44.5,-91.1517407893797,251.389551628743,-113.803882479014,22.6521416896348,23.443954150111,21.443954150111,18.443954150111,1,27.5
13-Jul-2026 13:12:20,225,784.436373421185,157.382588048173,25.5659838162573,44.5,-91.3166042319157,251.389551628743,-113.803882479014,22.4872782470987,23.279090707575,21.279090707575,18.279090707575,1,28.125
13-Jul-2026 13:12:25,230,800.443742301833,157.558049859087,25.5659838162573,44.5,-91.4920660428297,251.389551628743,-113.803882479014,22.3118164361847,23.103628896661,21.103628896661,18.103628896661,1,28.75
13-Jul-2026 13:12:30,235,817.63554770331,157.742628877785,25.5659838162573,44.5,-91.6766450615279,251.389551628743,-113.803882479014,22.1272374174866,22.9190498779628,20.9190498779628,17.9190498779628,1,29.375
13-Jul-2026 13:12:35,240,835.938302169199,157.93491807987,25.5659838162573,44.5,-91.868934263613,251.389551628743,-113.803882479014,21.9349482154015,22.7267606758777,20.7267606758777,17.7267606758777,1,30
13-Jul-2026 13:12:40,245,855.280277303404,158.133602731064,25.5659838162573,44.5,-92.0676189148064,251.389551628743,-113.803882479014,21.736263564208,22.5280760246843,20.5280760246843,17.5280760246843,1,30.625
13-Jul-2026 13:12:45,250,875.592168842644,158.337470957158,25.5659838162573,44.5,-92.2714871409006,251.389551628743,-113.803882479014,21.5323953381139,22.3242077985901,20.3242077985901,17.3242077985901,1,31.25
13-Jul-2026 13:12:50,255,896.80757203923,158.545418913962,25.5659838162573,44.5,-92.4794350977043,251.389551628743,-113.803882479014,21.3244473813102,22.1162598417864,20.1162598417864,17.1162598417864,1,31.875
13-Jul-2026 13:12:55,260,918.863413927717,158.756452778404,25.5659838162573,44.5,-92.6904689621471,251.389551628743,-113.803882479014,21.1134135168673,21.9052259773436,19.9052259773436,16.9052259773436,1,32.5
13-Jul-2026 13:13:00,265,941.700128783799,158.969686180358,25.5659838162573,44.5,-92.9037023641011,251.389551628743,-113.803882479014,20.9001801149134,21.6919925753896,19.6919925753896,16.6919925753896,1,33.125
13-Jul-2026 13:13:05,270,965.26171714133,159.184335227151,25.5659838162573,44.5,-93.1183514108937,251.389551628743,-113.803882479014,20.6855310681208,21.477343528597,19.477343528597,16.477343528597,1,33.75
13-Jul-2026 13:13:10,275,989.495838646605,159.399713026275,25.5659838162573,44.5,-93.3337292100181,251.389551628743,-113.803882479014,20.4701532689964,21.2619657294726,19.2619657294726,16.2619657294726,1,34.375
13-Jul-2026 13:13:15,280,1014.35369873916,159.615221927178,25.5659838162573,44.5,-93.5492381109209,251.389551628743,-113.803882479014,20.2546443680936,21.0464568285698,19.0464568285698,16.0464568285698,1,35
13-Jul-2026 13:13:20,285,1039.7899666172,159.830346032563,25.5659838162573,44.5,-93.7643622163057,251.389551628743,-113.803882479014,20.0395202627088,20.831332723185,18.831332723185,15.831332723185,1,35.625
13-Jul-2026 13:13:25,290,1065.76257298752,160.044642880058,25.5659838162573,44.5,-93.9786590638007,251.389551628743,-113.803882479014,19.8252234152137,20.6170358756899,18.6170358756899,15.6170358756899,1,36.25
13-Jul-2026 13:13:30,295,1092.23262510951,160.257736480462,25.5659838162573,44.5,-94.1917526642045,251.389551628743,-113.803882479014,19.6121298148099,20.4039422752862,18.4039422752862,15.4039422752862,1,36.875
13-Jul-2026 13:13:35,300,1119.16418133256,160.469309627751,25.5659838162573,44.5,-94.4033258114932,251.389551628743,-113.803882479014,19.4005566675212,20.1923691279975,18.1923691279975,15.1923691279975,1,37.5
13-Jul-2026 13:13:40,305,1146.52401829781,160.679096726266,25.5659838162573,44.5,-94.6131129100088,251.389551628743,-113.803882479014,19.1907695690057,19.9825820294819,17.9825820294819,14.9825820294819,1,38.125
13-Jul-2026 13:13:45,310,1174.28152602023,160.886878155048,25.5659838162573,44.5,-94.8208943387905,251.389551628743,-113.803882479014,18.982988140224,19.7748006007002,17.7748006007002,14.7748006007002,1,38.75
13-Jul-2026 13:13:50,315,1202.40847832451,161.09247418114,25.5659838162573,44.5,-95.0264903648822,251.389551628743,-113.803882479014,18.7773921141322,19.5692045746085,17.5692045746085,14.5692045746085,1,39.375
13-Jul-2026 13:13:55,320,1230.87880920339,161.295739482945,25.5659838162573,44.5,-95.2297556666875,251.389551628743,-113.803882479014,18.574126812327,19.3659392728032,17.3659392728032,14.3659392728032,1,40
13-Jul-2026 13:14:00,325,1259.66852681834,161.496559154515,25.5659838162573,44.5,-95.4305753382573,251.389551628743,-113.803882479014,18.3733071407572,19.1651196012334,17.1651196012334,14.1651196012334,1,40.625
13-Jul-2026 13:14:05,330,1288.75550810893,161.694844273297,25.5659838162573,44.5,-95.62886045704,251.389551628743,-113.803882479014,18.1750220219744,18.9668344824507,16.9668344824507,13.9668344824507,1,41.25
13-Jul-2026 13:14:10,335,1318.11930348096,161.890527988035,25.5659838162573,44.5,-95.8245441717776,251.389551628743,-113.803882479014,17.9793383072368,18.7711507677131,16.7711507677131,13.7711507677131,1,41.875
13-Jul-2026 13:14:15,340,1347.74108148277,162.083562916467,25.5659838162573,44.5,-96.0175791002094,251.389551628743,-113.803882479014,17.786303378805,18.5781158392813,16.5781158392813,13.5781158392813,1,42.5
13-Jul-2026 13:14:20,345,1377.60345452026,162.27391804733,25.5659838162573,44.5,-96.2079342310729,251.389551628743,-113.803882479014,17.5959482479416,18.3877607084178,16.3877607084178,13.3877607084178,1,43.125
13-Jul-2026 13:14:25,350,1407.69031473235,162.461576035405,25.5659838162573,44.5,-96.3955922191474,251.389551628743,-113.803882479014,17.408290259867,18.2001027203433,16.2001027203433,13.2001027203433,1,43.75
