Time_UTC,Time_From_Pass_Start_s,Range_km,FSPL_dB,Receive_Antenna_Gain_dBi,EIRP_dBm,Received_Carrier_dBm,System_Temperature_K,Noise_Power_dBm,SNR_dB,EbNo_dB,Raw_Margin_dB,Design_Margin_dB,Usable_Link,Cumulative_Data_MB
13-Jul-2026 13:08:35,0,1415.78152703792,173.743985097618,37.6701122588934,47.5,-91.573872838725,199.643933804342,-107.815093482772,16.2412206440466,17.0330331045229,15.0330331045229,12.0330331045229,1,0
13-Jul-2026 13:08:40,5,1385.67475143201,173.557286343548,37.6701122588934,47.5,-91.3871740846547,199.643933804342,-107.815093482772,16.427919398117,17.2197318585932,15.2197318585932,12.2197318585932,1,3.125
13-Jul-2026 13:08:45,10,1355.78673795881,173.367887897765,37.6701122588934,47.5,-91.1977756388715,199.643933804342,-107.815093482772,16.6173178439001,17.4091303043763,15.4091303043763,12.4091303043763,1,6.25
13-Jul-2026 13:08:50,15,1326.13318888381,173.175803153534,37.6701122588934,47.5,-91.0056908946409,199.643933804342,-107.815093482772,16.8094025881308,17.601215048607,15.601215048607,12.601215048607,1,9.375
13-Jul-2026 13:08:55,20,1296.73109638813,172.981058781792,37.6701122588934,47.5,-90.8109465228985,199.643933804342,-107.815093482772,17.0041469598732,17.7959594203494,15.7959594203494,12.7959594203494,1,12.5
13-Jul-2026 13:09:00,25,1267.5988800742,172.783697205928,37.6701122588934,47.5,-90.6135849470344,199.643933804342,-107.815093482772,17.2015085357372,17.9933209962135,15.9933209962135,12.9933209962135,1,15.625
13-Jul-2026 13:09:05,30,1238.75647472965,172.583779018932,37.6701122588934,47.5,-90.4136667600387,199.643933804342,-107.815093482772,17.4014267227329,18.1932391832092,16.1932391832092,13.1932391832092,1,18.75
13-Jul-2026 13:09:10,35,1210.22548996665,172.381386187037,37.6701122588934,47.5,-90.2112739281432,199.643933804342,-107.815093482772,17.6038195546284,18.3956320151046,16.3956320151046,13.3956320151046,1,21.875
13-Jul-2026 13:09:15,40,1182.02937675061,172.176625671903,37.6701122588934,47.5,-90.0065134130097,199.643933804342,-107.815093482772,17.8085800697619,18.6003925302381,16.6003925302381,13.6003925302381,1,25
13-Jul-2026 13:09:20,45,1154.19355015349,171.969633130792,37.6701122588934,47.5,-89.799520871899,199.643933804342,-107.815093482772,18.0155726108727,18.8073850713489,16.8073850713489,13.8073850713489,1,28.125
13-Jul-2026 13:09:25,50,1126.74558345563,171.760577558097,37.6701122588934,47.5,-89.5904652992037,199.643933804342,-107.815093482772,18.224628183568,19.0164406440442,17.0164406440442,14.0164406440442,1,31.25
13-Jul-2026 13:09:30,55,1099.71537517937,171.549666209378,37.6701122588934,47.5,-89.3795539504846,199.643933804342,-107.815093482772,18.435539532287,19.2273519927633,17.2273519927633,14.2273519927633,1,34.375
13-Jul-2026 13:09:35,60,1073.13535478931,171.337150331071,37.6701122588934,47.5,-89.1670380721778,199.643933804342,-107.815093482772,18.6480554105938,19.4398678710701,17.4398678710701,14.4398678710701,1,37.5
