Time_UTC,Time_From_Pass_Start_s,Azimuth_deg,Elevation_deg,Range_km,Radial_Velocity_mps,Azimuth_Rate_deg_per_s,Elevation_Rate_deg_per_s,Above_Minimum_Elevation,Source
13-Jul-2026 13:08:35,0,331.171846809225,15.2617628687343,1415.78152703792,-6021.35512118181,0.119065658780561,0.124267081965732,1,satelliteScenario
13-Jul-2026 13:08:40,5,331.767175103127,15.883098278563,1385.67475143201,-5999.47890791118,0.122018316509487,0.126125181360844,1,satelliteScenario
13-Jul-2026 13:08:45,10,332.392029974319,16.5230146823428,1355.78673795881,-5954.15625482034,0.128143651375861,0.129926966588539,1,satelliteScenario
13-Jul-2026 13:08:50,15,333.048611616886,17.1823679444484,1326.13318888381,-5905.56415706805,0.134729662451968,0.133901764278896,1,satelliteScenario
13-Jul-2026 13:08:55,20,333.739326598839,17.8620323251317,1296.73109638813,-5853.43088096126,0.141819640566006,0.138052526163812,1,satelliteScenario
13-Jul-2026 13:09:00,25,334.466808022546,18.5628932060865,1267.5988800742,-5797.46216584737,0.149461686909836,0.142380664314814,1,satelliteScenario
13-Jul-2026 13:09:05,30,335.233943467938,19.2858389682799,1238.75647472965,-5737.33901075479,0.157709217272392,0.146885546427473,1,satelliteScenario
13-Jul-2026 13:09:10,35,336.04390019527,20.0317486703612,1210.22548996665,-5672.70979790471,0.166620904808998,0.15156372833273,1,satelliteScenario
13-Jul-2026 13:09:15,40,336.900152516028,20.8014762516072,1182.02937675061,-5603.19398131536,0.17626177493461,0.156408329599389,1,satelliteScenario
13-Jul-2026 13:09:20,45,337.806517944616,21.5958319663551,1154.19355015349,-5528.37932949746,0.186703678014892,0.161408082642525,1,satelliteScenario
13-Jul-2026 13:09:25,50,338.767189296176,22.4155570780324,1126.74558345563,-5447.81749741235,0.198025531499898,0.166546134772481,1,satelliteScenario
13-Jul-2026 13:09:30,55,339.786773259615,23.2612933140799,1099.71537517937,-5361.02286663211,0.210313692924776,0.171798684780863,1,satelliteScenario
13-Jul-2026 13:09:35,60,340.870326225424,24.1335439258411,1073.13535478931,-5267.47334107492,0.223662582400114,0.177133423554898,1,satelliteScenario
13-Jul-2026 13:09:40,65,342.023399083616,25.0326275496289,1047.04064176862,-5166.61017329287,0.238174859566735,0.182507634383164,1,satelliteScenario
13-Jul-2026 13:09:45,70,343.252074821092,25.9586202696727,1021.46925305638,-5057.83411070193,0.253960405250353,0.187865823338914,1,satelliteScenario
13-Jul-2026 13:09:50,75,344.56300313612,26.9112857830181,996.462300661602,-4940.51121035335,0.27113630955486,0.193137313280178,1,satelliteScenario
13-Jul-2026 13:09:55,80,345.96343791664,27.8899934024745,972.06414095285,-4813.97574119822,0.289825399944917,0.198233387092253,1,satelliteScenario
